

//
// Armor techs
// 
ARMOR_0_NAME     | Titanium Armor
CONTROLENV_5_DETAIL  | A new kind of colony base, one insulated and protected from the strange and cold environment of the planet. Permits the colonization of toxic planets.

CONTROLENV_6_NAME    | Controlled Irradiated Environment
CONTROLENV_6_ITEM    | Radiated Colony Base
CONTROLENV_6_BRIEF   | Allows Colonization of Irradiated Planets
CONTROLENV_6_DETAIL  | A new kind of colony base, one engineered in a way as to protect it's inhabitants from the restless cosmic radiation. Permits the colonization of irradiated planets.


//
// DEFLECTOR Shield tech
//
// this is the entry on Ship Design for selecting no DEFLECTOR shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Class I Deflector Shields
DEFLECTOR_1_ITEM      | Class I
DEFLECTOR_1_BRIEF     | Deflects 1 damage
DEFLECTOR_1_DETAIL    | These limited deflector shields can deflect 1 point of damage from all attacks, consuming large amounts of energy in the process. 

DEFLECTOR_2_NAME      | Class II Deflector Shields
DEFLECTOR_2_ITEM      | Class II
DEFLECTOR_2_BRIEF     | Deflects 2 damage
DEFLECTOR_2_DETAIL    | These types of deflector shields can deflect 2 points of damage from all attacks, at small energy requiremenents. Efficient, with good recharge times.

DEFLECTOR_3_NAME      | Class III Deflector Shields
DEFLECTOR_3_ITEM      | Class III
DEFLECTOR_3_BRIEF     | Deflects 3 damage
DEFLECTOR_3_DETAIL    | These types of deflector shields can deflect 3 points of damage from all attacks, at decent energy requirements, though it is less efficient.

DEFLECTOR_4_NAME      | Class IV Deflector Shields
DEFLECTOR_4_ITEM      | Class IV
DEFLECTOR_4_BRIEF     | Deflects 4 damage
DEFLECTOR_4_DETAIL    | These types of deflector shields can deflect 4 points of damage from all attacks, though with slower recharge times.

DEFLECTOR_5_NAME      | Class V Deflector Shields
DEFLECTOR_5_ITEM      | Class V
DEFLECTOR_5_BRIEF     | Deflects 5 damage
DEFLECTOR_5_DETAIL    | These types of shields are able to deflect 5 points of damage from all attacks, and collect the residual Argent Plasma to lower recharge times significantly.

DEFLECTOR_6_NAME      | Class VI Deflector Shields
DEFLECTOR_6_ITEM      | Class VI
DEFLECTOR_6_BRIEF     | Deflects 6 damage
DEFLECTOR_6_DETAIL    | These types of shields are able to deflect 6 points of damage from all attacks, and use residual Argent Plasma as power for both the ship itself and the shield.

DEFLECTOR_7_NAME      | Class VII Deflector Shields
DEFLECTOR_7_ITEM      | Class VII
DEFLECTOR_7_BRIEF     | Deflects 7 damage
DEFLECTOR_7_DETAIL    | These types of shields use multiple rotating energy deflectors to deflect 7 points of damage from all attacks. They produce an effect that can look similar to lightning when active.

DEFLECTOR_8_NAME      | Class IX Deflector Shields
DEFLECTOR_8_ITEM      | Class IX
DEFLECTOR_8_BRIEF     | Deflects 9 damage
DEFLECTOR_8_DETAIL    | These types of shields use tens of rotating energy deflectors to deflect 9 points of damage from all attacks. They produce an effect that can look similar to flashes of light when active.

DEFLECTOR_9_NAME      | Class XI Deflector Shields
DEFLECTOR_9_ITEM      | Class XI
DEFLECTOR_9_BRIEF     | Repels 11 damage
DEFLECTOR_9_DETAIL    | These types of shields use hundreds of rotating energy deflectors to repel 11 points of damage from all attacks. Makes vessel look like pure light when active.

DEFLECTOR_10_NAME     | Class XIII Deflector Shields
DEFLECTOR_10_ITEM     | Class XIII
DEFLECTOR_10_BRIEF    | Repels 13 damage
DEFLECTOR_10_DETAIL   | These types of shields are able to shift probabilities so that all incoming enemy fire will hit for 13 less points of damage.

DEFLECTOR_11_NAME     | Class XV Deflector Shields
DEFLECTOR_11_ITEM     | Class XV
DEFLECTOR_11_BRIEF    | Nullifies 15 damage
DEFLECTOR_11_DETAIL   | These types of shields are able to directly modify the space-time continuum so that all incoming enemy fire hits for 15 less points of damage.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Displacement Device
DISPLACEMENT_0_BRIEF  | 1/3 of all enemy attacks miss
DISPLACEMENT_0_DETAIL | Randomly shifts ships in and out of normal space by warping space-time around them, allowing them to avoid 1/3 of all non-area weapon attacks. Is known to highly confuse crews and computer systems alike.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | 
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | ECM Jammer Mark I
ECMJAMMER_1_ITEM      | Jammer I
ECMJAMMER_1_BRIEF     | Missile Def 1
ECMJAMMER_1_DETAIL    | Old radar jammers adapted to space. Adds 1 level to defense against enemy missile attacks.

ECMJAMMER_2_NAME      | ECM Jammer Mark II
ECMJAMMER_2_ITEM      | Jammer II
ECMJAMMER_2_BRIEF     | Missile Def 2
ECMJAMMER_2_DETAIL    | Eqipment that fools missile guidance systems by filling their vision with visual illusions. Adds 2 levels to defense against enemy missile attacks. 

ECMJAMMER_3_NAME      | ECM Jammer Mark III
ECMJAMMER_3_ITEM      | Jammer III
ECMJAMMER_3_BRIEF     | Missile Def 3
ECMJAMMER_3_DETAIL    | Infohazard emitters that add 3 levels to defense against enemy missile attacks.

ECMJAMMER_4_NAME      | ECM Jammer Mark IV
ECMJAMMER_4_ITEM      | Jammer IV
ECMJAMMER_4_BRIEF     | Missile Def 4
ECMJAMMER_4_DETAIL    | Equipment that exploits missile guidance AI by creating unsolvable dillemas. Adds 4 levels to defense against enemy missile attacks.

ECMJAMMER_5_NAME      | ECM Jammer Mark V
ECMJAMMER_5_ITEM      | Jammer V
ECMJAMMER_5_BRIEF     | Missile Def 5
ECMJAMMER_5_DETAIL    | Equipment that attempts to decode and implement missile self-destruct codes. Adds 5 levels to defense against enemy missile attacks.

ECMJAMMER_6_NAME      | ECM Jammer Mark VI
ECMJAMMER_6_ITEM      | Jammer VI
ECMJAMMER_6_BRIEF     | Missile Def 6
ECMJAMMER_6_DETAIL    | Equipment that fires harmless beams of tachyons that make incoming missiles collide with each other. Adds 6 levels to defense against enemy missile attacks.

ECMJAMMER_7_NAME      | ECM Jammer Mark VII
ECMJAMMER_7_ITEM      | Jammer VII
ECMJAMMER_7_BRIEF     | Missile Def 7
ECMJAMMER_7_DETAIL    | Equipment that directly deletes missile guidance system programming. Adds 7 levels to defense against enemy missile attacks.

ECMJAMMER_8_NAME      | ECM Jammer Mark VIII
ECMJAMMER_8_ITEM      | Jammer VIII
ECMJAMMER_8_BRIEF     | Missile Def 8
ECMJAMMER_8_DETAIL    | Equipment that labels other missiles foes while labeling the targeted ship a friend. Adds 8 levels to defense against enemy missile attacks.

ECMJAMMER_9_NAME      | ECM Jammer Mark IX
ECMJAMMER_9_ITEM      | Jammer IX
ECMJAMMER_9_BRIEF     | Missile Def 9
ECMJAMMER_9_DETAIL    | Color blending systems that add 9 levels to defense against enemy missile attacks.

ECMJAMMER_10_NAME     | ECM Jammer Mark X
ECMJAMMER_10_ITEM     | Jammer X
ECMJAMMER_10_BRIEF    | Missile Def 10
ECMJAMMER_10_DETAIL   | Equipment that makes ships appear already destroyed, adding 10 levels to defense against enemy missile attacks.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Ecological Restoration
ECORESTORATION_0_DETAIL | Old methods of ecological restoration. Primitive, but effective. Allows eliminating 2 units of industrial waste for a cost of 1 BC.

ECORESTORATION_1_NAME   | Improved Eco Restoration
ECORESTORATION_1_DETAIL | Universal waste disposal techniques improve efficiency and allow eliminating 3 units of industrial waste for a cost of 1 BC.

ECORESTORATION_2_NAME   | Enhanced Eco Restoration
ECORESTORATION_2_DETAIL | Genetically engineered bacteria made to consume waste allows eliminating 5 units of industrial waste for a cost of 1 BC.

ECORESTORATION_3_NAME   | Advanced Eco Restoration
ECORESTORATION_3_DETAIL | Harmless small-scale neutronium explosions allows eliminating 10 units of industrial waste for a cost of 1 BC.

ECORESTORATION_4_NAME   | Complete Eco Restoration
ECORESTORATION_4_DETAIL | The use of atomic dissasemblers allows eliminating 20 units of industrial waste for a cost of 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Energy Pulsar
PULSAR_0_BRIEF    | Expands to inflict 1-5 hits
PULSAR_0_DETAIL   | A potent engine modification which generates a sudden spherical burst of energy striking all adjacent ships for up to 5 points of damage +1 per two ships.

PULSAR_1_NAME     | Ionic Pulsar
PULSAR_1_BRIEF    | Expands to inflict 2-10 hits
PULSAR_1_DETAIL   | A powerful engine modification capable of generating a spherical burst of phased energy striking all adjacent ships for up to 10 points of damage +1 per attacking ship.


//
// Engine techs
//
ENGINE_0_NAME    | Retro Engines 
ENGINE_0_DETAIL  | Uses combustible propellant to move ships at Warp 1, and allows a maximum maneuverability of class I in combat.
ENGINE_0_ITEM    | Retro
ENGINE_0_ITEM2   | Class 1
ENGINE_0_BRIEF   | Warp 1  Def Systems %1
ENGINE_0_BRIEF2  | Combat Speed %1

ENGINE_1_NAME    | Nuclear Engines 
ENGINE_1_DETAIL  | Uses nuclear reactions to move ships at Warp 2, and allows a maximum maneuverability of class II in combat.
ENGINE_1_ITEM    | Nuclear
ENGINE_1_ITEM2   | Class 2
ENGINE_1_BRIEF   | Warp 2  Def Systems %1
ENGINE_1_BRIEF2  | Combat Speed %1

ENGINE_2_NAME    | Sub-Light Engines 
ENGINE_2_DETAIL  | Efficient engines. Move ships at Warp 3, and allow a maximum maneuverability of class III in combat.
ENGINE_2_ITEM    | Sub-Light
ENGINE_2_ITEM2   | Class 3
ENGINE_2_BRIEF   | Warp 3  Def Systems %1
ENGINE_2_BRIEF2  | Combat Speed %1

ENGINE_3_NAME    | Fusion Drives 
ENGINE_3_DETAIL  | Very efficient engines. Move ships at Warp 4, and allow a maximum maneuverability of class IV in combat.
ENGINE_3_ITEM    | Fusion
ENGINE_3_ITEM2   | Class 4
ENGINE_3_BRIEF   | Warp 4  Def Systems %1
ENGINE_3_BRIEF2  | Combat Speed %1

ENGINE_4_NAME    | Impulse Engines 
ENGINE_4_DETAIL  | This vastly improved variant of the retro drive moves ships at Warp 5, and allows a maximum maneuverability of class V in combat.
ENGINE_4_ITEM    | Impulse
ENGINE_4_ITEM2   | Class 5
ENGINE_4_BRIEF   | Warp 5  Def Systems %1
ENGINE_4_BRIEF2  | Combat Speed %1

ENGINE_5_NAME    | Ion Drives 
ENGINE_5_DETAIL  | Moves ships at Warp 6 with powerful beams of ions, and allows a maximum maneuverability of class VI in combat.
ENGINE_5_ITEM    | Ion
ENGINE_5_ITEM2   | Class 6
ENGINE_5_BRIEF   | Warp 6  Def Systems %1
ENGINE_5_BRIEF2  | Combat Speed %1

ENGINE_6_NAME    | Anti-Matter Engines
ENGINE_6_DETAIL  | An engine using the energy of anti-matter reactions. Moves ships at Warp 7, and allows a maximum maneuverability of class VII in combat.
ENGINE_6_ITEM    | Anti-Matter
ENGINE_6_ITEM2   | Class 7
ENGINE_6_BRIEF   | Warp 7  Def Systems %1
ENGINE_6_BRIEF2  | Combat Speed %1

ENGINE_7_NAME    | Inter-Phased Drives
ENGINE_7_DETAIL  | Using a combination of pan-dimensional projection of hard light and a small application of thrust in the right direction, this drive moves ships at Warp 8, and allows a maximum maneuverability of class VIII in combat.
ENGINE_7_ITEM    | Inter-Phased
ENGINE_7_ITEM2   | Class 8
ENGINE_7_BRIEF   | Warp 8  Def Systems %1
ENGINE_7_BRIEF2  | Combat Speed %1

ENGINE_8_NAME    | Hyper Drives
ENGINE_8_ITEM    | Hyper
ENGINE_8_DETAIL  | The final word in engine technology. By fully entering the realm of hyperspace and floating along the galactic current it is possible to move ships at Warp 9, and allows a maximum maneuverability of class IX in combat.
ENGINE_8_ITEM2   | Class 9
ENGINE_8_BRIEF   | Warp 9  Def Systems %1
ENGINE_8_BRIEF2  | Combat Speed %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Fuel Cells
FUELRANGE_0_DETAIL | Conventional chemical fuel reserves allow ships to move up to 3 light-years away from colony planets.

FUELRANGE_1_NAME   | Hydrogen Fuel Cells
FUELRANGE_1_DETAIL | Efficient hydrogen-filled fuel reserves allow ships to move up to 4 light-years away from colony planets.

FUELRANGE_2_NAME   | Deuterium Fuel Cells
FUELRANGE_2_DETAIL | Miniaturized deuterium-filled fuel reserves allow ships to move up to 5 light-years away from colony planets.

FUELRANGE_3_NAME   | Iridium Fuel Cells
FUELRANGE_3_DETAIL | Less efficient iridium fuel reserves allow ships to move up to 6 light-years away from colony planets.

FUELRANGE_4_NAME   | Dotomite Crystals
FUELRANGE_4_DETAIL | Fuel reserves containing dotomite crystal batteries allow ships to move up to 7 light-years away from colony planets.

FUELRANGE_5_NAME   | Uridium Fuel Cells
FUELRANGE_5_DETAIL | More efficient fuel reserves containing a derivative of the chemical iridium allow ships to move up to 8 light-years away from colony planets.

FUELRANGE_6_NAME   | Reajax II Fuel Cells
FUELRANGE_6_DETAIL | Fuel reserves containing the easily flammable substance Reajax II allow ships to move up to 9 light-years away from colony planets.

FUELRANGE_7_NAME   | Trilithium Crystals
FUELRANGE_7_DETAIL | Fuel reserves containing the rare substance trilithium, a more energy-packed derivative of lithium allow ships to move up to 10 light-years away from colony planets.

FUELRANGE_8_NAME   | Thorium Cells
FUELRANGE_8_DETAIL | Fission reactor which is able to recycle used fuel to work practically indefinitely.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Future Computer I
FUTURECOMP_0_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_1_NAME    | Future Computer II
FUTURECOMP_1_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_2_NAME    | Future Computer III
FUTURECOMP_2_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_3_NAME    | Future Computer IV
FUTURECOMP_3_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_4_NAME    | Future Computer V
FUTURECOMP_4_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_5_NAME    | Future Computer VI
FUTURECOMP_5_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_6_NAME    | Future Computer VII
FUTURECOMP_6_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_7_NAME    | Future Computer VIII
FUTURECOMP_7_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_8_NAME    | Future Computer IX
FUTURECOMP_8_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_9_NAME    | Future Computer X
FUTURECOMP_9_DETAIL  | General Improvements in Computer Technology.


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Future Construction I
FUTURECONST_0_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_1_NAME    | Future Construction II
FUTURECONST_1_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_2_NAME    | Future Construction III
FUTURECONST_2_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_3_NAME    | Future Construction IV
FUTURECONST_3_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_4_NAME    | Future Construction V
FUTURECONST_4_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_5_NAME    | Future Construction VI
FUTURECONST_5_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_6_NAME    | Future Construction VII
FUTURECONST_6_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_7_NAME    | Future Construction VIII
FUTURECONST_7_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_8_NAME    | Future Construction IX
FUTURECONST_8_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_9_NAME    | Future Construction X
FUTURECONST_9_DETAIL  | General Improvements in Construction Technology.


//
// Future Force Field techs
//
